Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,China,1/23/20 17:00,9,,
Beijing,China,1/23/20 17:00,22,,
Chongqing,China,1/23/20 17:00,9,,
Fujian,China,1/23/20 17:00,5,,
Gansu,China,1/23/20 17:00,2,,
Guangdong,China,1/23/20 17:00,32,,2
Guangxi,China,1/23/20 17:00,5,,
Guizhou,China,1/23/20 17:00,3,,
Hainan,China,1/23/20 17:00,5,,
Hebei,China,1/23/20 17:00,1,1,
Heilongjiang,China,1/23/20 17:00,2,,
Henan,China,1/23/20 17:00,5,,
Hong Kong,Hong Kong,1/23/20 17:00,2,,
Hubei,China,1/23/20 17:00,444,17,28
Hunan,China,1/23/20 17:00,9,,
Inner Mongolia,China,1/23/20 17:00,,,
Jiangsu,China,1/23/20 17:00,5,,
Jiangxi,China,1/23/20 17:00,7,,
Jilin,China,1/23/20 17:00,1,,
Liaoning,China,1/23/20 17:00,3,,
Macau,Macau,1/23/20 17:00,2,,
Ningxia,China,1/23/20 17:00,1,,
Qinghai,China,1/23/20 17:00,,,
Shaanxi,China,1/23/20 17:00,3,,
Shandong,China,1/23/20 17:00,6,,
Shanghai,China,1/23/20 17:00,16,,
Shanxi,China,1/23/20 17:00,1,,
Sichuan,China,1/23/20 17:00,8,,
Taiwan,Taiwan,1/23/20 17:00,1,,
Tianjin,China,1/23/20 17:00,4,,
Tibet,China,1/23/20 17:00,,,
Washington,US,1/23/20 17:00,1,,
Xinjiang,China,1/23/20 17:00,2,,
Yunnan,China,1/23/20 17:00,2,,
Zhejiang,China,1/23/20 17:00,27,,
,Japan,1/23/20 17:00,1,,
,Thailand,1/23/20 17:00,3,,
,South Korea,1/23/20 17:00,1,,
,Singapore,1/23/20 17:00,1,,
,Philippines,1/23/20 17:00,,,
,Malaysia,1/23/20 17:00,,,
,Vietnam,1/23/20 17:00,2,,
,Australia,1/23/20 17:00,,,
,Mexico,1/23/20 17:00,,,
,Brazil,1/23/20 17:00,,,
,Colombia,1/23/20 17:00,,,
